question_num,diagram_LU_x,diagram_LU_y,diagram_RB_x,diagram_RB_y,optionA_LU_x,optionA_LU_y,optionA_RB_x,optionA_RB_y,optionB_LU_x,optionB_LU_y,optionB_RB_x,optionB_RB_y,optionC_LU_x,optionC_LU_y,optionC_RB_x,optionC_RB_y,optionD_LU_x,optionD_LU_y,optionD_RB_x,optionD_RB_y,stament_LU_x,stament_LU_y,stament_RB_x,stament_RB_y,time_LU_x,time_LU_y,time_RB_x,time_RB_y
mid_shu_01,543,128,1350,646,857,807,1061,822,857,966,1061,964,-1,-1,-1,-1,-1,-1,-1,-1,106,644,1819,766,1191,703,1367,766
mid_shu_02,625,113,1303,511,718,657,1213,731,718,738,1213,812,718,816,1213,902,718,905,1213,985,106,508,1820,630,1285,567,1460,633
mid_shu_03,823,152,1072,354,889,564,1005,645,889,653,1005,735,889,741,1005,812,889,823,1005,903,106,350,1820,466,1220,399,1384,464
mid_shu_04,823,208,1095,314,871,537,1037,616,871,624,1037,689,871,702,1037,771,871,783,1037,852,414,321,1304,405,1306,306,1471,411
hou_shu_01,635,57,1265,557,833,669,1085,731,177,741,1769,821,177,823,1769,897,109,903,1807,1071,105,559,1819,661,981,619,1111,665
hou_shu_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hou_shu_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hou_shu_04,834,183,1093,404,876,574,990,660,877,667,989,741,878,746,987,822,877,831,991,909,318,405,1450,514,1458,391,1601,514
hou_phy_02,507,95,774,293,527,408,762,456,527,458,762,511,513,513,778,565,527,568,762,622,115,293,1053,354,1057,293,1157,356
hou_phy_04,552,103,738,274,555,389,729,444,555,443,729,499,555,498,729,553,555,555,729,621,61,275,1113,339,1116,271,1215,338
